Date,Holiday_Name,Holiday_Type
2016-1-1,New Year's Day,National holiday
2016-3-17,St. Patrick's Day,National holiday
2016-3-20,March equinox,Season
2016-3-25,Good Friday,Observance
2016-3-27,Easter,Observance
2016-3-28,Easter Monday,National holiday
2016-5-2,May Day,National holiday
2016-6-6,June Bank Holiday,National holiday
2016-6-20,June Solstice,Season
2016-8-1,August Bank Holiday,National holiday
2016-9-22,September equinox,Season
2016-10-31,October Bank Holiday,National holiday
2016-12-21,December Solstice,Season
2016-12-24,Christmas Eve,Observance
2016-12-25,Christmas Day,National holiday
2016-12-26,St. Stephen's Day,National holiday
2016-12-27,Christmas Day observed,National holiday
2016-12-31,New Year's Eve,Observance
2017-1-1,New Year's Day,National holiday
2017-1-2,New Year's Day observed,National holiday
2017-3-17,St. Patrick's Day,National holiday
2017-3-20,March equinox,Season
2017-4-14,Good Friday,Observance
2017-4-16,Easter,Observance
2017-4-17,Easter Monday,National holiday
2017-5-1,May Day,National holiday
2017-6-5,June Bank Holiday,National holiday
2017-6-21,June Solstice,Season
2017-8-7,August Bank Holiday,National holiday
2017-9-22,September equinox,Season
2017-10-30,October Bank Holiday,National holiday
2017-12-21,December Solstice,Season
2017-12-24,Christmas Eve,Observance
2017-12-25,Christmas Day,National holiday
2017-12-26,St. Stephen's Day,National holiday
2017-12-31,New Year's Eve,Observance
